pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1563,,Kashihara,Nara,JP-NR,Provincial Park,0,奈良県立橿原公苑,34.491276,135.791883
JA-1139,,Tochigi Central,Tochigi,JP-TC,Provincial Park,0,栃木県中央公園,36.558286,139.862822
JA-1136,,Tochigi Sports,Tochigi,JP-TC,Provincial Park,0,栃木県総合運動公園,36.510865,139.85929
JA-1758,,Saitobaru Burial Mounds,Miyazaki,JP-MZ,Provincial Park,0,特別史跡公園西都原古墳群,32.118664,131.390167
JA-1641,,Seishonen no Mori,Tokushima,JP-TS,Provincial Park,0,徳島県立青少年の森,33.841331,134.512369
JA-1015,,Nopporo Sports,Hokkaido,JP-HK,Provincial Park,0,道立野幌総合運動公園,43.069167,141.531111
JA-1023,,Volcano Bay Panorama,Hokkaido,JP-HK,Provincial Park,0,道立噴火湾パノラマパーク,42.226763,140.314132
JA-1022,,South Hokkaido Shiki no Mori,Hokkaido,JP-HK,Provincial Park,0,道立道南四季の杜公園,41.848906,140.76826
JA-1013,,Makomanai,Hokkaido,JP-HK,Provincial Park,0,道立真駒内公園,42.995727,141.3445
JA-1021,,Tokachi Ecology,Hokkaido,JP-HK,Provincial Park,0,道立十勝エコロジーパーク,42.933611,143.310278
JA-1018,,Soya Fureai,Hokkaido,JP-HK,Provincial Park,0,道立宗谷ふれあい公園,45.394167,141.756667
JA-1020,,Yumenomori,Hokkaido,JP-HK,Provincial Park,0,道立ゆめの森公園,43.568765,144.956369
JA-1019,,Sunpillar,Hokkaido,JP-HK,Provincial Park,0,道立サンピラーパーク,44.373889,142.479444
JA-1017,,Okhotsk Sea Ice,Hokkaido,JP-HK,Provincial Park,0,道立オホーツク流氷公園,44.316667,143.394167
JA-1016,,Okhotsk,Hokkaido,JP-HK,Provincial Park,0,道立オホーツク公園,43.990184,144.242533
JA-1661,,Dogo,Ehime,JP-EH,Provincial Park,0,道後公園,33.848165,132.786749
